"ID","Count","overlap","Size","pvalue","padj"
"HALLMARK_ADIPOGENESIS",225,"Abca1,Abca12,Abca13,Abca17,Abca2,Abca4,Abca7,Abcb8,Acaa2,Acadl,Acadm,Acads,Acly,Aco2,Acox1,Adcy1,Adcy2,Adcy3,Adcy5,Adcy6,Adcy7,Adcy8,Adig,Adipor2,Agpat3,Agpat4,Ak2,Aldh1a1,Aldh1a2,Aldh1a3,Aldh1a7,Aldh1b1,Aldh2,Angpt1,Angptl4,Aplp2,Apoe,Arl4a,Atl1,Atl2,Atl3,Baz2a,Bckdha,Bcl2l13,Braf,C3,C4b,Cat,Cavin1,Ccng2,Cd302,Cd36,Cdkn2c,Chat,Chuk,Cidea,Cmpk1,Col15a1,Col4a1,Col4a3,Col4a6,Coq3,Coq5,Cox6a1,Cox7b2,Cpt2,Crat,Cs,Cyc1,Cyp4a10,Cyp4a12a,Cyp4a12b,Cyp4a14,Cyp4a29,Cyp4a30b,Cyp4a31,Cyp4a32,Cyp4b1,Cyp4x1,Dbt,Decr1,Dgat1,Dhcr7,Dhrs7,Dhrs7b,Dlat,Dld,Dnajc15,Dram2,Echs1,Elmod3,Elovl6,Enpp1,Enpp2,Enpp3,Ephx2,Esrra,Esyt1,Etfb,Fah,G3bp2,Ghitm,Gpam,Gpat3,Gpat4,Gpd2,Gphn,Gpx4,Grpel1,Hadh,Hc,Hibch,Hspb8,Idh1,Idh2,Idh3a,Ifngr1,Ikbkb,Immt,Itga3,Itga6,Itga7,Itih5,Itsn2,Lama1,Lama2,Lama3,Lama4,Lama5,Lep,Lpcat3,Lpl,Map4k2,Map4k3,Map4k5,Mdh2,Me1,Me2,Me3,Mgst3,Miga2,Mpst,Mrap,Mrpl15,Mtarc1,Mtarc2,Mtch2,Nabp1,Ndufa5,Ndufs3,Nmt1,Nmt2,Orm2,Pdcd4,Pemt,Pex14,Pfkfb2,Pfkfb3,Pfkfb4,Pfkl,Pfkm,Pfkp,Pgm1,Pgm5,Phldb1,Phyh,Pim1,Pim3,Plin2,Pmp2,Por,Ppm1b,Ppm1n,Ppp1r15b,Prdx3,Preb,Ptcd3,Ptger3,Qdpr,Rab34,Raf1,Reep5,Retn,Retsat,Riok3,Rmdn3,Rnf11,Rreb1,Rtn3,Samm50,Scarb1,Scarb2,Scp2,Sdhb,Sdhc,Slc19a1,Slc19a2,Slc1a5,Slc25a10,Slc27a1,Slc27a4,Slc5a6,Sod1,Sorbs1,Sowahc,Sparcl1,Sqor,Sspn,Stat5a,Stat5b,Stom,Stoml3,Suclg1,Taldo1,Tank,Tob1,Tspan11,Ubc,Ubqln1,Uck1,Uck2,Ucp2,Uqcr11,Ywhag,Ywhah",265,1,1
"HALLMARK_ALLOGRAFT_REJECTION",187,"Abcb9,Abce1,Abi1,Abi2,Ache,Acvr2a,Acvr2b,Akt1,Akt2,Akt3,Apbb1,Bcat1,Bche,Bcl10,Bcl3,Blk,Brca1,C2,Capg,Ccl5,Ccl7,Ccnd1,Ccnd2,Ccnd3,Cd1d2,Cd2,Cd247,Cd28,Cd3e,Cd3g,Cd4,Cd40,Cd79a,Cd8a,Cd8b1,Cdkn2a,Cfb,Chuk,Crtam,Csf1,Csk,Ctsk,Ctss,Cxcl13,Cxcl15,Cxcl9,Degs1,Degs2,Dyrk2,Dyrk3,Egfr,Eif3a,Eif3d,Eif3j1,Eif4g1,Eif4g3,Eif5a,Elane,Erbb2,Erbb3,Erbb4,Ets1,F2,Fas,Fasl,Fcgr2b,Fcgr3,Fgr,Flnb,Flnc,Fyn,Galnt1,Galnt13,Gbp11,Gbp2,Gbp2b,Gbp3,Gbp5,Gbp7,Gbp8,Gcnt1,Gpr65,Gzmg,Gzmn,H2-DMa,H2-DMb2,H2-M10.3,H2-M10.6,H2-M11,H2-M2,H2-M9,H2-Ob,H2-Q1,H2-Q10,H2-Q4,H2-Q6,H2-T22,Hck,Hdac4,Hdac5,Hdac7,Hdac9,Icam1,Icam5,Icosl,Ifnar2,Ifng,Ifngr1,Ifngr2,Ikbkb,Il11,Il12rb1,Il15,Il16,Il18,Il18rap,Il27ra,Il2ra,Il2rb,Il7,Inhba,Irf4,Itgb2,Itgb3,Itgb5,Itgb6,Itgb7,Jak1,Jak2,Jak3,Krt2,Lck,Lif,Ly75,Ly86,Lyn,Map3k7,Map4k1,Mcpt8,Mmp9,Mrc1,Mrc2,Mtif2,Ncf4,Nlrp12,Nlrp1a,Nlrp1b,Nlrp3,Nos1,Nos2,Nos3,Pf4,Pla2r1,Prkca,Prkcb,Prkcg,Prtn3,Ptpn11,Ptpn6,Ptprc,Ripk2,Rpl39l,Rpl9,Rps3a1,Rps9,Socs5,Spi1,Src,Srgn,Stat1,Stat3,Stat4,Syk,Tgfb1,Tgfb2,Tlr1,Tlr3,Tlr6,Tnf,Tnfrsf23,Tpd52,Traf2,Ube2d1,Ube2n,Wasl,Yes1,Zap70",285,1,1
"HALLMARK_ANDROGEN_RESPONSE",138,"Abcc1,Abcc10,Abcc12,Abcc2,Abcc3,Abcc4,Abcc5,Abcc6,Abcc8,Abcc9,Abhd2,Acsl3,Actn1,Actn2,Actn3,Actn4,Adamts15,Adamts20,Adamts4,Adamts5,Adamts8,Adamts9,Akap12,Akt1,Akt2,Akt3,Aldh1a1,Aldh1a2,Aldh1a3,Aldh1a7,Aldh1b1,Aldh2,Appbp2,Arid5b,Axl,Azgp1,B4galt1,Bmpr1a,Bmpr1b,Camkk1,Camkk2,Ccnd1,Ccnd2,Ccnd3,Cdc14b,Cdk6,Cilk1,Dbi,Dhcr24,Elk4,Elovl2,Elovl5,Fads1,Fads2,Fads2b,Fads3,Fkbp5,Gnai1,Gnai2,Gnai3,Gsr,Gucy1a1,H1f0,Herc3,Herc4,Herc6,Homer2,Hpgd,Hsd17b14,Inpp4a,Inpp4b,Itga2b,Itga5,Itga8,Itgav,Klk1b11,Klk1b16,Klk1b21,Klk1b26,Klk1b4,Klk1b9,Krt19,Lman1,Lman1l,Mak,Map7,Mertk,Myl12b,Ncoa4,Ndrg1,Oxsr1,Pa2g4,Pdlim5,Pdlim7,Pgm3,Pias1,Pias2,Pias3,Pmepa1,Ptk2,Ptk2b,Ptpn14,Ptpn21,Rab4a,Rab4b,Rps6ka1,Rps6ka2,Rps6ka3,Rps6ka6,Rrp12,Scd1,Scd2,Scd4,Sec24c,Sec24d,Sgk1,Slc38a2,Sms,Sord,Spdef,Srf,Steap4,Stk39,Tmem50a,Tmem50b,Tmprss2,Tmprss3,Tpd52,Tsc22d1,Tyro3,Uap1,Ube2j1,Vapa,Xrcc5,Xrcc6,Zbtb10,Zmiz1,Zmiz2",165,1,1
"HALLMARK_ANGIOGENESIS",43,"Apoh,App,Ccnd1,Ccnd2,Ccnd3,Clec2m,Col1a2,Col2a1,Col3a1,Col5a2,Cxcl15,Fgfr1,Fgfr2,Fgfr3,Fgfr4,Itga2b,Itga5,Itga8,Itgav,Jag1,Jag2,Kcnj8,Lpl,Lrpap1,Msx2,Nrp1,Nrp2,Olr1,Pdgfa,Pf4,Pglyrp1,Postn,Prg2,Prg3,Ptk2,Ptk2b,Tnfrsf21,Vav1,Vav2,Vav3,Vegfa,Vtn,Wdr33",54,1,1
"HALLMARK_APICAL_JUNCTION",269,"Acta2,Actb,Actg2,Actn1,Actn2,Actn3,Actn4,Adam11,Adam22,Adam23,Adam9,Adamts15,Adamts20,Adamts4,Adamts5,Adamts8,Adamts9,Akt1,Akt2,Akt3,Alox12b,Alox5,Aloxe3,Amh,Amigo2,Arhgef6,Arhgef7,Arpc2,Arvcf,Atp12a,Atp1a1,Atp1a3,Atp1a4,Atp4a,B4galt1,Baiap2,Blk,Bmp1,Cadm3,Cap1,Cd209a,Cd209b,Cd209c,Cd209d,Cd274,Cd276,Cdh1,Cdh2,Cdh3,Cdh4,Cdk19,Cdk8,Cdsn,Cercam,Chat,Chl1,Cldn14,Cldn15,Cldn7,Cntn1,Cntn2,Cntn3,Cntn4,Cntn5,Cntn6,Col16a1,Col17a1,Col9a1,Colgalt1,Colgalt2,Comp,Crat,Ctnnb1,Ctnnd1,Dhx15,Dhx35,Dhx38,Dhx8,Dmp1,Dsc1,Dsc2,Dsc3,Egfr,Epb41,Epb41l2,Epb41l3,Erbb2,Erbb3,Erbb4,Evl,Exoc4,Ezr,Fbn1,Fbn2,Fgr,Flnb,Flnc,Fscn1,Fscn2,Fyn,Gamt,Gm5150,Gnai1,Gnai2,Gnai3,Grb7,Gtf2f1,Hadh,Hck,Hras,Icam1,Icam2,Icam5,Inpp5d,Inppl1,Irs1,Irs3,Itga1,Itga10,Itga11,Itga2,Itga3,Itga6,Itga7,Itgb2,Itgb3,Itgb4,Itgb5,Itgb6,Itgb7,Jam3,Jup,Kcnh2,Kcnh6,Kcnh7,Krt31,Krt34,Lama1,Lama2,Lama3,Lama4,Lama5,Lamb3,Lamc1,Lamc2,Lamc3,Layn,Lck,Ldlrap1,Lima1,Lsamp,Lyn,Madcam1,Map3k20,Map4k2,Map4k3,Map4k5,Mapk12,Mapk13,Mapk14,Mmp9,Mpzl1,Mpzl2,Muc5ac,Muc5b,Myh1,Myh10,Myh11,Myh13,Myh14,Myh15,Myh2,Myh3,Myh4,Myh6,Myh7b,Myh8,Myh9,Myl12b,Neb,Nectin1,Nectin2,Nectin4,Negr1,Nexn,Nf1,Nf2,Nfasc,Nlgn1,Nlgn2,Nrap,Nrcam,Nrxn1,Nrxn2,Nrxn3,Pard6b,Pard6g,Parva,Parvb,Pecam1,Pik3r1,Pik3r2,Pik3r3,Plcg1,Plcg2,Ppp2r2a,Ppp2r2b,Ppp2r2c,Ppp2r2d,Pten,Ptk2,Ptk2b,Ptprc,Pvr,Rac2,Rdx,Rhof,Rras,Rsu1,Sdc3,Sgce,Shc1,Shroom2,Sirpa,Sirpb1a,Sirpb1b,Sirpb1c,Skap2,Slc30a3,Slit1,Slit2,Slit3,Sorbs3,Speg,Src,Syk,Sympk,Thbs1,Thbs2,Thbs4,Tia1,Tial1,Tjp1,Tjp2,Tjp3,Tll1,Tll2,Tmem8b,Tnfrsf11b,Traf1,Tsc1,Tspan4,Tspan9,Tubg1,Tubg2,Vasp,Vav1,Vav2,Vav3,Vcam1,Vcl,Vwf,Wasl,Wnk4,Yes1,Ywhag,Ywhah,Zap70,Zyx",321,1,1
"HALLMARK_APICAL_SURFACE",81,"Adam10,Adipor2,Afap1l2,Akap7,App,Atp11a,Atp11b,Atp11c,Atp6v0a1,Atp6v0a2,Atp6v0a4,Atp8a1,Atp8a2,Atp8b1,Atp8b2,Atp8b3,Atp8b4,Atp8b5,B4galt1,Blk,Brca1,Cd160,Crocc,Crybg1,Epha1,Epha10,Epha2,Epha3,Epha4,Epha5,Epha6,Epha7,Epha8,Ephb1,Ephb2,Ephb3,Ephb4,Ephb6,Fgr,Flot2,Fyn,Gata2,Gata3,Gstm2,Gstm3,Gstm4,Gstm6,Gstm7,Hck,Il2rb,Lck,Lyn,Lypd3,Mal,Mdga1,Mdga2,Ncoa6,Ntng1,Ntng2,Pcsk9,Pkhd1,Pkhd1l1,Plaur,Rhbg,Rhcg,Rtn4rl1,Rtn4rl2,Scube1,Scube2,Scube3,Shroom2,Slc22a22,Slc2a1,Slc2a4,Slc34a3,Src,Sulf1,Sulf2,Tcirg1,Tmem8b,Yes1",89,1,1
"HALLMARK_APOPTOSIS",156,"2200002J24Rik,Add1,Add2,Add3,Aen,Aifm3,App,Atf3,Avil,Bcl10,Bcl2l1,Bcl2l10,Bcl2l11,Bid,Bik,Birc2,Birc3,Bmf,Bmp2,Bnip3l,Bnip3l-ps,Brca1,Bst1,Btg1,Btg3,Casp1,Casp2,Casp3,Casp4,Casp6,Casp7,Casp8,Casp9,Ccna1,Ccnd1,Ccnd2,Ccnd3,Cd2,Cd38,Cd44,Cd69,Cdc25b,Cdk2,Cdkn1a,Cdkn1b,Cflar,Clu,Cth,Dap3,Dcn,Dffa,Diablo,Dnaja1,Dnajc3,Dnm1l,Dpyd,Egfr,Egr3,Emp1,Eno1,Eno2,Eno3,Erbb2,Erbb3,Erbb4,F2,Fas,Fasl,Fez1,Gch1,Gna15,Gpx4,Gsn,Gsr,Gstm2,Gstm3,Gstm4,Gstm6,Gstm7,Gucy2d,Gucy2e,H1f0,Hgf,Ifnb1,Ifngr1,Igf2r,Igfbp6,Il18,Isg20,Lef1,Lgals3,Lmna,Lmnb1,Lmnb2,Madd,Mcl1,Mgmt,Naip1,Naip2,Naip5,Naip6,Nedd9,Nefh,Nefm,Pak1,Pak2,Pak3,Pdcd4,Pea15a,Plat,Plcb1,Plcb2,Plcb3,Plcb4,Plppr4,Pmaip1,Ppp2r5a,Ppp2r5b,Ppp2r5d,Ppp2r5e,Ppp3r1,Ppt1,Psen1,Psen2,Ptk2,Ptk2b,Rara,Rarb,Rarg,Rela,Retsat,Rhob,Rnasel,Rock1,Rock2,Scin,Slc20a1,Slc20a2,Smad6,Smad7,Sod1,Sod2,Spta1,Sptan1,Tgfb2,Tgfbr3,Timp2,Tnf,Tnfrsf23,Top2a,Top2b,Tspo,Vdac2,Vil1,Vill,Xiap",206,1,1
"HALLMARK_BILE_ACID_METABOLISM",138,"Abca1,Abca12,Abca13,Abca17,Abca2,Abca4,Abca5,Abca6,Abca7,Abca8a,Abca8b,Abca9,Abcd2,Abcd3,Abcg1,Abcg4,Abcg8,Acsl1,Acsl5,Acsl6,Agxt,Akr1d1,Aldh1a1,Aldh1a2,Aldh1a3,Aldh1a7,Aldh1b1,Aldh2,Aldh8a1,Aldh9a1,Apoa1,Aqp9,Ar,Atxn1,Bbox1,Bcar3,Blk,Bmp6,Cat,Ch25h,Crot,Cyp27a1,Cyp39a1,Cyp46a1,Cyp7a1,Cyp7b1,Dhcr24,Dio1,Dio2,Efhc1,Ephx2,Fads1,Fads2,Fads2b,Fads3,Fgr,Fyn,Gc,Gclm,Gnmt,Gnpat,Hao1,Hck,Hsd17b11,Hsd17b13,Hsd17b6,Hsd3b3,Hsd3b6,Idh1,Idh2,Lck,Lyn,Nedd4,Nedd4l,Npc1,Npc1l1,Nr0b2,Nr1h4,Nr3c2,Optn,Paox,Pecr,Pex1,Pex11a,Pex12,Pex13,Pex16,Pex19,Pex26,Pex6,Pex7,Pfkl,Pfkm,Pfkp,Phyh,Pipox,Pnpla8,Prdx5,Rdh1,Rdh16,Rdh16f2,Rdh19,Rdh7,Retsat,Rxra,Rxrg,Scp2,Serpina6,Slc22a18,Slc23a1,Slc23a2,Slc27a2,Slc27a5,Slc27a6,Slco1a1,Slco1a4,Slco1a5,Slco1a6,Slco1b2,Slco1c1,Soat2,Sod1,Src,Sult1b1,Sult2a1,Sult2a2,Sult2a3,Sult2a4,Sult2a5,Sult2a6,Sult2a7,Sult2a8,Sult2b1,Tfcp2,Tfcp2l1,Ttr,Ubp1,Yes1",158,1,1
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",84,"Abca1,Abca12,Abca13,Abca17,Abca2,Abca4,Abca7,Acat2,Acat3,Acss2,Acta2,Actb,Actg2,Adh1,Adh4,Adh5,Adh6a,Adh6b,Aldoc,Antxr2,Anxa13,Anxa5,Atf3,Atf5,Atxn2,Cbs,Cd9,Chka,Clu,Cpeb2,Cpeb4,Cyp51,Dhcr7,Errfi1,Ethe1,Fabp5,Fads1,Fads2,Fads2b,Fads3,Fasn,Fbxo44,Fbxo6,Fdft1,Fdps,Gldc,Gnai1,Gnai2,Gnai3,Gstm2,Gstm3,Gstm4,Gstm6,Gstm7,Gusb,Hsd17b7,Jag1,Jag2,Ldlr,Lgals3,Lgmn,Lpl,Lrp8,Lss,Mal2,Mvk,Nfil3,Niban1,Pcyt2,Plaur,Pmvk,Pnrc1,S100a11,Scd1,Scd2,Scd4,Sqle,Srebf1,Srebf2,Stx5a,Tm7sf2,Tmem97,Trib3,Trp53inp1",105,1,1
"HALLMARK_COAGULATION",179,"4930486L24Rik,A2m,A2ml1,Adam9,Ang2,Ang4,Apoa1,Apoc1,Apoc2,Apoc3,Avil,Blk,Bmp1,C1qa,C1ra,C1rb,C1s1,C1s2,C2,C3,C4b,C6,C7,C8a,C8b,C9,Capn1,Capn11,Capn2,Capn5,Capn8,Capn9,Casp9,Cd9,Cfb,Cfh,Cfhr1,Cfhr2,Cfhr4,Cfi,Clec2m,Clu,Comp,Cpb2,Cpn1,Cpq,Crip2,Csrp1,Ctsb,Ctse,Ctsh,Ctsk,Ctsl,Ctsm,Ctso,Ctss,Cxcl15,Dcbld1,Dct,Dpp4,Dusp14,Dusp7,F10,F11,F13b,F2,F3,F9,Fap,Fbn1,Fbn2,Fga,Fgr,Fn1,Furin,Fyn,Gda,Gm19410,Gm7298,Gnb1,Gnb4,Gng12,Gp1ba,Gsn,Hc,Hck,Hmgcs2,Hnf4a,Hnf4g,Hpn,Htra3,Itgb2,Itgb3,Itgb5,Itgb6,Itgb7,Klf7,Klkb1,Lamp2,Lck,Lefty1,Lefty2,Lgmn,Lrp1,Lrp1b,Lrp2,Lrp4,Lrp5,Lrp6,Lta4h,Lyn,Maff,Masp2,Mep1a,Mmp10,Mmp11,Mmp14,Mmp15,Mmp16,Mmp1a,Mmp24,Mmp8,Mmp9,Msrb2,Muc5ac,Muc5b,Mug1,Mug2,Olr1,Pcsk4,Pcsk5,Pcsk6,Pdgfb,Pecam1,Pef1,Pf4,Plat,Plau,Plek,Plg,Prep,Proc,Proz,Prss23,Pzp,Rabif,Rac1,Rapgef3,Rapgef4,S100a1,S100a13,Scin,Serpina16,Serpina1a,Serpina1b,Serpina1c,Serpina1e,Serpina1f,Serpinb2,Serpinc1,Serpine1,Serping1,Sh2b2,Sirt2,Src,Tfpi2,Thbs1,Thbs2,Thbs4,Tll1,Tll2,Tmprss6,Usp15,Usp4,Vil1,Vill,Vwf,Wdr1,Yes1",211,1,1
