"ID","Size","pvalue","padj"
"HALLMARK_IL2_STAT5_SIGNALING",280,0.00859978743242368,0.429989371621184
"HALLMARK_BILE_ACID_METABOLISM",158,0.0372726232574001,0.931815581435002
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",250,0.127131119218379,1
"HALLMARK_INTERFERON_GAMMA_RESPONSE",298,0.194766866733228,1
"HALLMARK_APOPTOSIS",206,0.410741906314216,1
"HALLMARK_FATTY_ACID_METABOLISM",217,0.507605106518475,1
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",105,0.536627534251168,1
"HALLMARK_COAGULATION",211,0.604141712861605,1
"HALLMARK_KRAS_SIGNALING_UP",311,0.735391648786394,1
"HALLMARK_P53_PATHWAY",284,0.741376730668906,1
"HALLMARK_HEME_METABOLISM",275,0.743639133652763,1
"HALLMARK_ALLOGRAFT_REJECTION",285,0.746453764957243,1
"HALLMARK_HYPOXIA",296,0.771551367631499,1
"HALLMARK_PEROXISOME",163,0.780355487725531,1
"HALLMARK_ADIPOGENESIS",265,0.793486601688175,1
"HALLMARK_ANDROGEN_RESPONSE",165,0.863174614567789,1
"HALLMARK_XENOBIOTIC_METABOLISM",312,0.881234473113647,1
"HALLMARK_INTERFERON_ALPHA_RESPONSE",171,0.882687493010335,1
"HALLMARK_PROTEIN_SECRETION",131,0.889434517920544,1
"HALLMARK_ANGIOGENESIS",54,1,1
"HALLMARK_APICAL_JUNCTION",321,1,1
"HALLMARK_APICAL_SURFACE",89,1,1
"HALLMARK_COMPLEMENT",311,1,1
"HALLMARK_DNA_REPAIR",175,1,1
"HALLMARK_E2F_TARGETS",243,1,1
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",282,1,1
"HALLMARK_ESTROGEN_RESPONSE_EARLY",271,1,1
"HALLMARK_ESTROGEN_RESPONSE_LATE",289,1,1
"HALLMARK_G2M_CHECKPOINT",268,1,1
"HALLMARK_GLYCOLYSIS",261,1,1
"HALLMARK_HEDGEHOG_SIGNALING",72,1,1
"HALLMARK_IL6_JAK_STAT3_SIGNALING",110,1,1
"HALLMARK_INFLAMMATORY_RESPONSE",283,1,1
"HALLMARK_KRAS_SIGNALING_DN",451,1,1
"HALLMARK_MITOTIC_SPINDLE",323,1,1
"HALLMARK_MTORC1_SIGNALING",252,1,1
"HALLMARK_MYC_TARGETS_V1",240,1,1
"HALLMARK_MYC_TARGETS_V2",63,1,1
"HALLMARK_MYOGENESIS",307,1,1
"HALLMARK_NOTCH_SIGNALING",43,1,1
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",197,1,1
"HALLMARK_PANCREAS_BETA_CELLS",57,1,1
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",146,1,1
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",56,1,1
"HALLMARK_SPERMATOGENESIS",222,1,1
"HALLMARK_TGF_BETA_SIGNALING",89,1,1
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",142,1,1
"HALLMARK_UV_RESPONSE_DN",270,1,1
"HALLMARK_UV_RESPONSE_UP",295,1,1
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",59,1,1
